0 annotation: 60
1 annotation: 59
2 annotation: 61
3 annotation: 66
4 annotation: 52
5 annotation: 53
6 annotation: 65
7 annotation: 60
8 annotation: 59
9 annotation: 54
10 annotation: 58
11 annotation: 65
12 annotation: 61
13 annotation: 56
14 annotation: 61
15 annotation: 64
16 annotation: 60
17 annotation: 67
18 annotation: 53
19 annotation: 72
20 annotation: 56
21 annotation: 59
22 annotation: 53
23 annotation: 59
24 annotation: 67
  Annotated, PSIPP,   1,   0,   0,    22.659,    22.659,         0
  Annotated, PSIPP,   4,   0,   9,    -1.000,    -1.000,         0
Unannotated,  CCBS,   4,   0,   9,    -1.000,    -1.000,         0
Unannotated, PSIPP,   4,   0,   9,    -1.000,    -1.000,        55
  Annotated, PSIPP,   5,   0,   3,    79.769,   169.431,         0
Unannotated,  CCBS,   5,   0,   3,    79.769,   169.431,         0
Unannotated, PSIPP,   5,   0,   3,    79.769,   169.431,        93
  Annotated, PSIPP,   6,   0,   3,    79.769,   188.989,         0
Unannotated,  CCBS,   6,   0,   3,    79.769,   188.989,         0
Unannotated, PSIPP,   6,   0,   3,    79.769,   188.989,        99
  Annotated, PSIPP,   7,   0,   3,    79.769,   248.043,         0
Unannotated,  CCBS,   7,   0,   3,    79.769,   248.043,         1
Unannotated, PSIPP,   7,   0,   3,    79.769,   248.043,       117
  Annotated, PSIPP,   8,   0,   3,    79.769,   293.382,         0
Unannotated,  CCBS,   8,   0,   3,    79.769,   293.382,         1
Unannotated, PSIPP,   8,   0,   3,    79.769,   293.382,       150
  Annotated, PSIPP,   9,   0,   3,    -1.000,    -1.000,         0
Unannotated,  CCBS,   9,   0,   3,    -1.000,    -1.000,         0
Unannotated, PSIPP,   9,   0,   3,    -1.000,    -1.000,       167
