0 annotation: 97
1 annotation: 99
2 annotation: 97
3 annotation: 96
4 annotation: 97
5 annotation: 95
6 annotation: 94
7 annotation: 95
8 annotation: 95
9 annotation: 97
10 annotation: 96
11 annotation: 95
12 annotation: 96
13 annotation: 96
14 annotation: 94
15 annotation: 96
16 annotation: 99
17 annotation: 98
18 annotation: 98
19 annotation: 98
20 annotation: 95
21 annotation: 95
22 annotation: 96
23 annotation: 94
24 annotation: 95
Unannotated, PSIPP,   3,   0,   5,    50.044,   116.144,       604
  Annotated, PSIPP,   3,   0,   6,   114.475,   247.699,         1
Unannotated,  CCBS,   3,   0,   6,   114.475,   247.699,        46
Unannotated, PSIPP,   3,   0,   6,   114.475,   247.699,       958
  Annotated, PSIPP,   3,   0,   8,   139.053,   253.346,         1
Unannotated,  CCBS,   3,   0,   8,   139.053,   253.346,         3
Unannotated, PSIPP,   3,   0,   8,   139.053,   253.346,      1045
  Annotated, PSIPP,   3,   0,   9,    96.247,   222.226,         1
Unannotated,  CCBS,   3,   0,   9,    96.247,   222.226,        42
Unannotated, PSIPP,   3,   0,   9,    96.247,   222.226,       881
  Annotated, PSIPP,   3,   0,  10,    68.773,   140.261,         0
Unannotated,  CCBS,   3,   0,  10,    68.773,   140.261,         1
Unannotated, PSIPP,   3,   0,  10,    68.773,   140.261,       657
  Annotated, PSIPP,   3,   0,  14,    99.135,   217.526,         1
Unannotated,  CCBS,   3,   0,  14,    99.135,   217.526,         1
Unannotated, PSIPP,   3,   0,  14,    99.135,   217.526,      1091
  Annotated, PSIPP,   3,   0,  15,    70.804,   141.060,         0
Unannotated,  CCBS,   3,   0,  15,    70.804,   141.060,         1
Unannotated, PSIPP,   3,   0,  15,    70.804,   141.060,       829
  Annotated, PSIPP,   3,   0,  16,   158.170,   250.135,         1
Unannotated,  CCBS,   3,   0,  16,   158.926,   228.166,         7
Unannotated, PSIPP,   3,   0,  16,   158.170,   250.135,      1627
  Annotated, PSIPP,   3,   0,  18,   134.541,   295.160,         1
Unannotated,  CCBS,   3,   0,  18,   134.612,   295.094,         1
Unannotated, PSIPP,   3,   0,  18,   134.541,   295.160,      1170
  Annotated, PSIPP,   3,   0,  19,    48.801,   130.098,         0
Unannotated,  CCBS,   3,   0,  19,    48.801,   130.098,         1
Unannotated, PSIPP,   3,   0,  19,    48.801,   130.098,       747
  Annotated, PSIPP,   3,   0,  20,   132.786,   270.418,         1
Unannotated,  CCBS,   3,   0,  20,   132.786,   270.418,         1
Unannotated, PSIPP,   3,   0,  20,   132.786,   270.418,      1149
  Annotated, PSIPP,   3,   0,  21,    41.776,   110.073,         0
Unannotated,  CCBS,   3,   0,  21,    41.776,   110.073,         1
Unannotated, PSIPP,   3,   0,  21,    41.776,   110.073,       630
  Annotated, PSIPP,   3,   0,  22,   122.191,   218.576,         1
Unannotated,  CCBS,   3,   0,  22,   122.191,   218.576,         1
Unannotated, PSIPP,   3,   0,  22,   122.191,   218.576,      1192
  Annotated, PSIPP,   3,   0,  23,   137.710,   321.263,         1
Unannotated,  CCBS,   3,   0,  23,   137.710,   321.263,         1
Unannotated, PSIPP,   3,   0,  23,   137.710,   321.263,      1475
  Annotated, PSIPP,   3,   0,  24,    57.168,   122.084,         0
Unannotated,  CCBS,   3,   0,  24,    56.831,   122.084,         1
Unannotated, PSIPP,   3,   0,  24,    57.168,   122.084,       711
  Annotated, PSIPP,   4,   0,   1,    48.119,   140.661,         0
Unannotated,  CCBS,   4,   0,   1,    48.119,   140.661,         2
Unannotated, PSIPP,   4,   0,   1,    48.119,   140.661,       855
  Annotated, PSIPP,   4,   0,   2,   110.664,   225.152,         1
Unannotated,  CCBS,   4,   0,   2,   110.664,   225.152,         1
Unannotated, PSIPP,   4,   0,   2,   110.664,   225.152,      1161
  Annotated, PSIPP,   4,   0,   3,    57.504,   157.565,         0
Unannotated,  CCBS,   4,   0,   3,    57.504,   157.565,         1
Unannotated, PSIPP,   4,   0,   3,    57.504,   157.565,       852
  Annotated, PSIPP,   4,   0,   4,   133.716,   298.101,         1
Unannotated,  CCBS,   4,   0,   4,   133.716,   298.101,         1
Unannotated, PSIPP,   4,   0,   4,   133.716,   298.101,      1628
  Annotated, PSIPP,   4,   0,   5,    50.044,   141.542,         0
Unannotated,  CCBS,   4,   0,   5,    50.044,   141.542,         1
Unannotated, PSIPP,   4,   0,   5,    50.044,   141.542,       968
  Annotated, PSIPP,   4,   0,   6,   114.475,   257.668,         1
Unannotated,  CCBS,   4,   0,   6,   114.475,   257.668,        45
Unannotated, PSIPP,   4,   0,   6,   114.475,   257.668,      1343
  Annotated, PSIPP,   4,   0,   8,   139.053,   283.518,         1
Unannotated,  CCBS,   4,   0,   8,   139.053,   283.518,         3
Unannotated, PSIPP,   4,   0,   8,   139.053,   283.518,      1575
  Annotated, PSIPP,   4,   0,   9,    96.247,   251.815,         1
Unannotated,  CCBS,   4,   0,   9,    96.256,   249.511,        60
Unannotated, PSIPP,   4,   0,   9,    96.247,   251.815,      1304
  Annotated, PSIPP,   4,   0,  10,    99.393,   239.654,         1
Unannotated,  CCBS,   4,   0,  10,    99.393,   239.654,         1
Unannotated, PSIPP,   4,   0,  10,    99.393,   239.654,       864
  Annotated, PSIPP,   4,   0,  14,   137.577,   355.103,         1
Unannotated,  CCBS,   4,   0,  14,   137.577,   355.103,         1
Unannotated, PSIPP,   4,   0,  14,   137.577,   355.103,      1643
  Annotated, PSIPP,   4,   0,  15,    70.804,   189.865,         0
Unannotated,  CCBS,   4,   0,  15,    70.804,   189.865,         1
Unannotated, PSIPP,   4,   0,  15,    70.804,   189.865,      1106
  Annotated, PSIPP,   4,   0,  16,   158.170,   278.986,         1
Unannotated,  CCBS,   4,   0,  16,   158.926,   257.017,         7
Unannotated, PSIPP,   4,   0,  16,   158.170,   278.986,      1704
  Annotated, PSIPP,   4,   0,  18,   134.541,   349.709,         1
Unannotated,  CCBS,   4,   0,  18,   134.612,   349.644,         2
Unannotated, PSIPP,   4,   0,  18,   134.541,   349.709,      1936
  Annotated, PSIPP,   4,   0,  19,    -1.000,    -1.000,         1
Unannotated,  CCBS,   4,   0,  19,    -1.000,    -1.000,         1
Unannotated, PSIPP,   4,   0,  19,    -1.000,    -1.000,      1116
  Annotated, PSIPP,   4,   0,  20,   132.786,   317.213,         1
Unannotated,  CCBS,   4,   0,  20,   132.786,   317.213,         2
Unannotated, PSIPP,   4,   0,  20,   132.786,   317.213,      1685
  Annotated, PSIPP,   4,   0,  21,   146.527,   256.600,         1
Unannotated,  CCBS,   4,   0,  21,   146.527,   256.600,         1
Unannotated, PSIPP,   4,   0,  21,   146.527,   256.600,      1014
  Annotated, PSIPP,   4,   0,  22,   122.191,   244.929,         1
Unannotated,  CCBS,   4,   0,  22,   122.191,   244.929,         1
Unannotated, PSIPP,   4,   0,  22,   122.191,   244.929,      1531
  Annotated, PSIPP,   4,   0,  23,   137.710,   346.548,         1
Unannotated,  CCBS,   4,   0,  23,   137.710,   345.681,         2
Unannotated, PSIPP,   4,   0,  23,   137.710,   346.548,      2277
  Annotated, PSIPP,   4,   0,  24,    -1.000,    -1.000,         1
Unannotated,  CCBS,   4,   0,  24,    -1.000,    -1.000,         1
Unannotated, PSIPP,   4,   0,  24,    -1.000,    -1.000,       872
  Annotated, PSIPP,   5,   0,   1,    48.119,   150.225,         0
Unannotated,  CCBS,   5,   0,   1,    48.119,   150.225,         2
Unannotated, PSIPP,   5,   0,   1,    48.119,   150.225,      1152
  Annotated, PSIPP,   5,   0,   2,   110.664,   266.427,         1
Unannotated,  CCBS,   5,   0,   2,   110.664,   266.427,         2
Unannotated, PSIPP,   5,   0,   2,   110.664,   266.427,      1666
  Annotated, PSIPP,   5,   0,   3,    57.504,   183.475,         1
Unannotated,  CCBS,   5,   0,   3,    57.504,   183.475,         2
Unannotated, PSIPP,   5,   0,   3,    57.504,   183.475,      1310
  Annotated, PSIPP,   5,   0,   4,   133.716,   370.185,         1
Unannotated,  CCBS,   5,   0,   4,   133.716,   370.185,         6
Unannotated, PSIPP,   5,   0,   4,   133.716,   370.185,      2044
  Annotated, PSIPP,   5,   0,   5,    50.044,   169.507,         0
Unannotated,  CCBS,   5,   0,   5,    50.044,   169.507,         2
Unannotated, PSIPP,   5,   0,   5,    50.044,   169.507,      1187
  Annotated, PSIPP,   5,   0,   6,   114.475,   305.020,         1
Unannotated,  CCBS,   5,   0,   6,   114.475,   305.020,        45
Unannotated, PSIPP,   5,   0,   6,   114.475,   305.020,      1446
  Annotated, PSIPP,   5,   0,   8,   139.053,   314.050,         1
Unannotated,  CCBS,   5,   0,   8,   139.053,   314.050,         4
Unannotated, PSIPP,   5,   0,   8,   139.053,   314.050,      1810
  Annotated, PSIPP,   5,   0,   9,   190.517,   442.332,         1
